,genre,count
671,"Cooper, Ben (Fictitious character)",1
672,Mothers and sons,1
673,Muscles,1
674,Curious George (Fictitious character),1
675,Astrology,1
676,Cartoons and comics,1
677,"""Amérique latine - Histoire - 1806-1830 (Guerres d'indépendance)""",1
678,Archetype (Psychology),1
679,Amish,1
680,Cambodia,1
681,Honesty,1
682,Setters (Dogs),1
683,Yana Indians,1
684,Civil engineering,1
685,Prejudices,1
686,Learning disabilities,1
687,Commercial statistics,1
688,The West,1
689,Problem children,1
690,Checkers,1
691,Sealing,1
692,Fantastic fiction.,1
693,Chemical engineering,1
694,Darkover (Imaginary place),1
695,Brand name products,1
696,Astronauts,1
697,"Art, Islamic",1
698,Salem (Mass.),1
699,Real estate business,1
700,Berlin (Germany),1
701,Women and religion,1
702,Self-preservation,1
703,"""Frankenstein's monster (Fictitious character)""",1
704,Oral history,1
705,Home economics,1
706,"Shugak, Kate (Fictitious character)",1
707,Mormons and Mormonism,1
708,Megalithic monuments,1
709,Communication in marketing.,1
710,Building sites,1
711,Kuṇḍalinī,1
712,Immigrants,1
713,Llamas,1
714,Picture books for children,1
715,Crete,1
716,Cows,1
717,"Barnum, P.T. (phineas Taylor), 1810-1891",1
718,Insurance agents,1
719,"Bennet, Elizabeth (Fictitious character)",1
720,Beguines,1
721,Occult sciences,1
722,Marketing,1
723,Travelers,1
724,Mormons,1
725,Lewis and Clark Expedition,1
726,Decorative arts,1
727,Curiosities and wonders.,1
728,Oz (Imaginary place),1
729,Ceramic sculpture,1
730,Blacks,1
731,Neuropsychology,1
732,"DiGriz, James Bolivar (Fictitious character)",1
733,Bellehaven (Wash. : Imaginary place),1
734,Multivariate analysis,1
735,Demonology,1
736,Product safety.,1
737,Chivalry.,1
738,Italian fiction,1
739,Dogfighting,1
740,Beverages,1
741,Political corruption,1
742,Copenhagen (Denmark),1
743,Clowns,1
744,Best sellers,1
745,Yoga,1
746,Maps,1
747,African American women air pilots,1
748,ANTIQUES & COLLECTIBLES,1
749,Debutantes,1
750,Large print books,1
751,Heroes,1
752,Magic,1
753,Landscape,1
754,Gospel musicians,1
755,Galapagos Islands,1
756,Sanskrit language,1
757,Jewish law,1
758,Interplanetary voyages,1
759,Minnesota literature,1
760,Lighthouses,1
761,Current Events,1
762,Spanish language,1
763,Church work with children with mental disabilities,1
764,Letter mail handling,1
765,Prohibition,1
766,Reiki (Healing system),1
767,Popular culture,1
768,Chocolate,1
769,Bullfighters,1
770,Newly independent states,1
771,Critics,1
772,Autumn,1
773,Fourth Way (Occultism),1
774,"Medicine, Popular",1
775,Pebbles,1
776,Asian Americans,1
777,"Airplanes, Military",1
778,Collective behavior,1
779,Iguana (Genus),1
780,Fate and fatalism,1
781,Buckingham County (Va.),1
782,ART,1
783,Zen Buddhism,1
784,Barges,1
785,Conjoined twins,1
786,McLaren automobiles,1
787,Fur trade,1
788,Expatriation,1
789,Drug control,1
790,Fantasy.,1
791,Amerikaanse fiksie,1
792,Collectors and collecting,1
793,Weather,1
794,Literature,1
795,Religious satire,1
796,"Greek language, Biblical",1
797,Grand Prix racing,1
798,Spiritualism,1
799,Coincidence,1
800,Basketwork,1
801,Reducing diets,1
802,"Baudelaire, Klaus (Fictitious character)",1
803,"Cookery, Chinese",1
804,Bibliographical citations,1
805,Indian mythology,1
806,"Alps, Swiss (Switzerland)",1
